# Prometheus family name | type | label names (sorted)
loomarr_active_sessions|gauge|
loomarr_auth_logins_total|counter|result
loomarr_build_info|gauge|database,revision,version
loomarr_channel_reconcile_duration_seconds|histogram|
loomarr_channel_reconciles_total|counter|result
loomarr_channel_slot_substitutions_total|counter|
loomarr_database_connection_wait_duration_seconds_total|counter|
loomarr_database_connection_waits_total|counter|
loomarr_database_connections|gauge|state
loomarr_database_connections_closed_total|counter|reason
loomarr_database_max_open_connections|gauge|
loomarr_filler_pods_total|counter|match_level
loomarr_filler_rotation_airings_total|counter|cooldown,repeat
loomarr_http_outbound_fanout|histogram|method,route
loomarr_http_request_duration_seconds|histogram|method,route
loomarr_http_requests_in_flight|gauge|
loomarr_http_requests_total|counter|code,method,route
loomarr_image_worker_duration_seconds|histogram|kind
loomarr_image_worker_in_flight|gauge|
loomarr_image_worker_input_bytes|histogram|kind
loomarr_image_worker_operations_total|counter|kind,result
loomarr_image_worker_output_bytes|histogram|kind
loomarr_image_worker_peak_rss_bytes|histogram|kind
loomarr_image_worker_queue_wait_seconds|histogram|class
loomarr_jobs|gauge|status
loomarr_llm_tokens_total|counter|kind
loomarr_metrics_scrape_errors_total|counter|source
loomarr_outbound_request_duration_seconds|histogram|target
loomarr_outbound_requests_total|counter|code,target
loomarr_outbound_retries_total|counter|reason,target
loomarr_playout_fallbacks_total|counter|reason
loomarr_playout_process_failures_total|counter|stage
loomarr_playout_session_starts_total|counter|result
loomarr_playout_sessions_active|gauge|
loomarr_proposal_job_attempts|gauge|outcome
loomarr_proposal_job_failures|gauge|code
loomarr_proposal_job_oldest_age_seconds|gauge|status
loomarr_scheduler_job_duration_seconds|histogram|job
loomarr_scheduler_job_executions_total|counter|job,result,trigger
loomarr_scheduler_job_last_success_timestamp_seconds|gauge|job
loomarr_scheduler_jobs_running|gauge|job
loomarr_titles|gauge|state
