# name	paths separated by semicolons	expected true gates in classifier order
leaf-go	internal/suggest/score.go	contracts,go,postgres,image
store-go	internal/store/store.go	contracts,go,postgres,image
composition-go	internal/app/application.go	contracts,go,go_full,postgres,image
backend-transition-go	internal/backendtransition/controller.go	contracts,go,postgres,image
playout-go	internal/playout/session.go	contracts,go,postgres,image
rust-worker	rust/loomarr-image/src/lib.rs	rust,image
migration	internal/store/migrations/sqlite/00001_init.sql	contracts,go,go_full,postgres,image
generic-web	web/apps/web/src/diagnostics/client-reporter/client-reporter.ts	web,visual,tuner,image
web-unit-test	web/apps/web/src/channels/channel-health/channel-health.test.ts	web,image
web-unit-test-tsx	web/apps/web/src/diagnostics/application-diagnostics/application-diagnostics.test.tsx	web,image
web-story-only	web/apps/web/src/design/typography/typography.stories.tsx	web,visual,image
web-runtime-tokens	web/packages/tokens/src/tokens/tokens.ts	web,visual,tuner,image
mobile-client	web/apps/mobile/app/index.tsx	clients,apple_mobile,expo_android_mobile
tv-client	web/apps/tv/src/app.tsx	clients,apple_tv,expo_android_tv
shared-client-ui	web/packages/ui/src/client-platform-proof/client-platform-proof.tsx	clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv
shared-client-api	web/packages/api/src/unwrap/unwrap.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image
shared-client-core	web/packages/core/src/guide/guide.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image
shared-client-fixtures	web/packages/fixtures/src/index.ts	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image
client-tooling	web/turbo.json	clients
client-browser-proof	web/apps/web/src/client-platform-proof/client-platform-proof.tsx	clients
apple-client-script	web/scripts/test-apple-client.sh	contracts,apple_mobile,apple_tv
expo-android-script	web/scripts/build-android-client.sh	contracts,expo_android_mobile,expo_android_tv
visual-web	web/apps/web/src/people/users-page/users-page.tsx	web,visual,tuner,image
visual-baseline	web/apps/web/tests/visual/gallery.spec.ts-snapshots/ai-approvalhistoryrow--approved-desktop-linux.png	web,visual,image
e2e-baseline	web/apps/web/tests/e2e/wizard.spec.ts-snapshots/step-1-bootstrap-desktop-linux.png	web,e2e,image
wizard-e2e	web/apps/web/src/wizard/steps/steps.ts	web,visual,e2e,tuner,image
tuner-web	web/apps/web/src/channels/use-hls-player/use-hls-player.ts	web,visual,tuner,image
web-build-config	web/apps/web/vite.config.ts	web,visual,e2e,tuner,image
web-tooling	web/apps/web/package.json	web,visual,e2e,tuner,image
workspace-tooling	web/package.json	web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image
openapi	api/openapi.yaml	contracts,go,go_full,web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,android
android	android/app/src/main/AndroidManifest.xml	android
release-image	Dockerfile	contracts,image
documentation	docs/dev/testing.md	docs
design-contract	docs/design.md	go,go_full,docs
configuration-contract	docs/configuration.md	go,go_full,docs
commands-contract	docs/dev/commands.md	go,go_full,docs
install-contract	docs/install/docker.md	go,go_full,docs
readme-contract	README.md	go,go_full,docs
embedded-help	docs/help/quickstart.md	contracts,go,go_full,image,docs
agent-script	scripts/agent.sh	contracts,agent
release-workflow	.github/workflows/release.yml	contracts
ci-workflow	.github/workflows/ci.yml	contracts,go,go_full,rust,postgres,web,clients,apple_mobile,apple_tv,expo_android_mobile,expo_android_tv,visual,e2e,tuner,image,docs,agent,android
dev-compose	docker/compose.dev.yaml	contracts,agent
production-compose	docker/compose.yaml	contracts,go,go_full
combined-leaf-and-docs	internal/suggest/score.go;docs/dev/testing.md	contracts,go,postgres,image,docs
filler-eval-corpus	internal/fillereval/corpus/seed-v1.json	contracts,go
filler-corpus-pilot	internal/fillercorpus/corpus/pilot/prelinger.json	contracts,go
filler-eval-doc	internal/fillereval/README.md	docs
