class,seg,run,seek,first_segment_ms
h264,2,1,388,315.062
h264,2,2,506,349.729
h264,2,3,297,934.595
h264,2,4,293,495.754
h264,2,5,452,249.173
h264,2,6,284,196.096
h264,2,7,295,158.996
h264,2,8,580,189.375
h264,2,9,80,183.931
h264,2,10,334,194.131
h264,2,11,514,382.038
h264,2,12,142,192.48
h264,2,13,490,788.009
h264,2,14,410,313.556
h264,2,15,157,167.974
h264,2,16,582,170.368
h264,2,17,504,314.114
h264,2,18,251,184.061
h264,2,19,274,184.784
h264,2,20,603,176.726
hevc,2,1,1129,199.505
hevc,2,2,1076,170.889
hevc,2,3,447,179.088
hevc,2,4,1233,163.231
hevc,2,5,1028,169.144
hevc,2,6,814,188.972
hevc,2,7,529,187.325
hevc,2,8,1010,205.649
hevc,2,9,926,170.673
hevc,2,10,374,166.128
hevc,2,11,739,173.572
hevc,2,12,613,191.338
hevc,2,13,195,191.712
hevc,2,14,395,238.345
hevc,2,15,643,178.122
hevc,2,16,324,198.101
hevc,2,17,157,167.478
hevc,2,18,106,192.584
hevc,2,19,277,247.583
hevc,2,20,794,160.581
hdr,2,1,4381,1077.858
hdr,2,2,1686,1226.117
hdr,2,3,1529,1244.625
hdr,2,4,3306,1236.223
hdr,2,5,4443,1117.967
hdr,2,6,1840,1291.386
hdr,2,7,4076,1147.297
hdr,2,8,1670,1259.223
hdr,2,9,4299,1212.055
hdr,2,10,1229,1188.354
hdr,2,11,4558,1219.685
hdr,2,12,4004,1287.871
hdr,2,13,2920,1194.361
hdr,2,14,1171,1339.658
hdr,2,15,4279,1242.184
hdr,2,16,806,1152.648
hdr,2,17,4630,1269.995
hdr,2,18,2853,1141.003
hdr,2,19,649,1258.82
hdr,2,20,4473,1183.466
h264,1,1,503,267.035
h264,1,2,81,141.327
h264,1,3,291,158.276
h264,1,4,249,129.335
h264,1,5,326,135.656
h264,1,6,336,164.121
h264,1,7,127,110.628
h264,1,8,390,148.741
h264,1,9,545,327.745
h264,1,10,429,311.292
h264,1,11,138,130.915
h264,1,12,506,243.941
h264,1,13,590,153.845
h264,1,14,230,462.458
h264,1,15,255,127.207
h264,1,16,97,120.356
h264,1,17,92,141.656
h264,1,18,579,125.541
h264,1,19,290,147.676
h264,1,20,431,129.375
hevc,1,1,797,117.478
hevc,1,2,819,117.669
hevc,1,3,404,197.127
hevc,1,4,684,130.242
hevc,1,5,570,147.761
hevc,1,6,1191,118.921
hevc,1,7,143,157.7
hevc,1,8,240,169.362
hevc,1,9,590,113.836
hevc,1,10,112,111.141
hevc,1,11,250,132.252
hevc,1,12,234,111.951
hevc,1,13,1083,119.435
hevc,1,14,612,117.698
hevc,1,15,511,231.824
hevc,1,16,1029,122.393
hevc,1,17,437,129.976
hevc,1,18,1000,130.122
hevc,1,19,506,163.272
hevc,1,20,1010,134.683
hdr,1,1,4536,667.687
hdr,1,2,1088,858.286
hdr,1,3,4222,819.536
hdr,1,4,5417,778.595
hdr,1,5,2407,867.747
hdr,1,6,1693,845.151
hdr,1,7,4673,803.528
hdr,1,8,3965,827.269
hdr,1,9,663,895.914
hdr,1,10,3616,847.79
hdr,1,11,2290,878.6
hdr,1,12,4412,845.552
hdr,1,13,5023,891.775
hdr,1,14,1854,894.148
hdr,1,15,1594,832.3
hdr,1,16,2202,902.795
hdr,1,17,3200,823.61
hdr,1,18,3528,778.854
hdr,1,19,836,768.556
hdr,1,20,4922,784.32
