file_idx,seek,first_video_ms,first_segment_ms
1,779,214.066,268.732
2,598,107.133,157.114
3,417,194.182,236.837
4,236,285.118,330.431
5,955,111.158,165.345
6,774,138.999,193.201
7,593,324.569,370.253
8,412,89.013,145.39
9,231,403.507,452.523
10,950,194.139,243.979
11,769,345.038,392.873
12,588,109.574,156.427
13,407,306.051,367.986
14,226,145.528,196.565
15,945,,
16,764,119.998,165.37
17,583,177.544,225.934
18,402,147.113,199.875
19,221,581.047,616.113
20,940,298.181,351.754
21,759,147.968,198.368
22,578,180.995,230.671
23,397,86.249,140.313
24,216,494.624,541.54
25,935,127.119,173.307
26,754,114.828,166.029
27,573,125.698,174.382
28,392,103.766,152.827
29,211,373.826,426.557
30,930,128.493,180.075
31,749,132.76,182.392
32,568,281.703,330.961
33,387,174.541,225.802
34,206,211.128,259.685
35,925,195.203,241.976
36,744,99.926,152.06
37,563,202.328,262.092
38,382,136.281,188.84
39,201,216.374,271.161
40,920,890.596,990.572
