cache,run,seek,first_video_ms,first_segment_ms
cold,1,296,197.121,303.98
cold,2,525,69.51,175.244
cold,3,204,88.132,188.073
cold,4,433,80.276,185.887
cold,5,112,119.851,223.305
cold,6,341,113.362,317.417
cold,7,570,141.321,255.281
cold,8,249,62.288,170.931
cold,9,478,301.967,496.36
cold,10,157,126.023,226.808
cold,11,386,112.538,216.728
cold,12,65,104.154,219.005
cold,13,294,102.425,221.358
cold,14,523,94.921,199.595
cold,15,202,101.238,205.656
cold,16,431,75.189,176.157
cold,17,110,97.975,207.442
cold,18,339,88.786,186.906
cold,19,568,85.758,193.556
cold,20,247,170.504,278.337
warm,1,296,92.217,201.746
warm,2,525,66.185,168.672
warm,3,204,86.505,185.912
warm,4,433,85.411,194.046
warm,5,112,77.621,180.246
warm,6,341,83.289,189.467
warm,7,570,80.17,188.103
warm,8,249,62.798,172.273
warm,9,478,74.158,183.997
warm,10,157,78.604,183.853
warm,11,386,91.083,201.533
warm,12,65,59.084,173.65
warm,13,294,81.9,183.402
warm,14,523,76.365,182.528
warm,15,202,97.647,209.981
warm,16,431,75.919,175.776
warm,17,110,76.384,185.756
warm,18,339,79.645,172.426
warm,19,568,77.477,185.073
warm,20,247,60.175,170.538
