variant,idx,seek,probe_done_ms,first_video_ms,first_segment_ms
V0,1,779,144.425,,
V0,2,598,31.725,113.079,169.328
V0,3,417,114.324,173.006,223.957
V0,4,236,42.594,122.063,182.232
V0,5,955,147.664,332.929,378.873
V0,6,774,32.187,112.999,165.395
V0,7,593,38.068,183.342,234.008
V0,8,412,33.919,119.58,171.266
V0,9,231,39.395,112.173,164.49
V0,10,950,47.453,,
V0,11,769,38.854,125.908,178.095
V0,12,588,50.136,161.974,213.715
V0,13,407,48.47,92.801,145.604
V0,14,226,97.943,366.19,514.777
V0,15,945,226.776,,
V0,16,764,50.568,130.421,180.832
V0,17,583,34.919,89.684,140.921
V0,18,402,52.289,251.804,339.089
V0,19,221,79.106,234.635,282.28
V0,20,940,108.973,185.727,236.549
V0,21,759,35.496,98.02,148.449
V0,22,578,31.916,100.603,157.138
V0,23,397,45.83,166.881,221.632
V0,24,216,304.889,508.683,564.86
V0,25,935,61.052,146.479,196.357
V0,26,754,37.527,143.852,188.529
V0,27,573,29.505,122.323,171.614
V0,28,392,51.648,161.569,213.373
V0,29,211,37.431,117.581,168.183
V0,30,930,34.8,84.476,134.279
V0,31,749,60.898,125.417,175.948
V0,32,568,104.799,396.752,448.625
V0,33,387,49.143,148.578,204.9
V0,34,206,37.681,84.559,136.96
V0,35,925,44.118,117.975,155.539
V0,36,744,312.083,,
V0,37,563,43.941,138.426,187.906
V0,38,382,39.857,103.657,153.559
V0,39,201,42.479,255.895,304.628
V0,40,920,74.024,235.824,287.704
V1,1,779,37.14,261.63,314.374
V1,2,598,26.542,94.781,147.393
V1,3,417,32.697,282.148,348.292
V1,4,236,107.876,164.316,210.681
V1,5,955,51.492,,
V1,6,774,36.37,87.832,139.458
V1,7,593,60.361,124.162,189.491
V1,8,412,36.065,140.402,194.364
V1,9,231,69.363,163.574,221.162
V1,10,950,76.123,,
V1,11,769,45.573,148.541,204.323
V1,12,588,138.398,,
V1,13,407,113.524,166.888,216.733
V1,14,226,32.388,122.887,174.626
V1,15,945,116.933,,
V1,16,764,87.338,,
V1,17,583,76.097,131.544,183.619
V1,18,402,35.583,99.841,151.4
V1,19,221,36.223,99.913,140.892
V1,20,940,67.029,208.55,254.262
V1,21,759,34.118,114.365,161.159
V1,22,578,46.392,104.653,161.601
V1,23,397,43.101,111.708,160.655
V1,24,216,33.68,138.263,186.328
V1,25,935,139.815,,
V1,26,754,57.914,117.484,168.218
V1,27,573,61.145,117.311,170.063
V1,28,392,139.58,310.334,365.854
V1,29,211,46.686,95.857,147.013
V1,30,930,45.788,126.58,169.717
V1,31,749,52.025,139.425,193.699
V1,32,568,41.371,203.145,244.81
V1,33,387,41.617,289.178,341.16
V1,34,206,41.218,112.499,170.555
V1,35,925,43.767,277.341,325.357
V1,36,744,42.648,196.98,308.543
V1,37,563,149.096,321.08,370.623
V1,38,382,39.808,118.731,170.273
V1,39,201,43.338,154.015,205.257
V1,40,920,46.869,,
V2,1,779,40.833,,
V2,2,598,277.948,537.522,588.731
V2,3,417,34.948,90.499,142.791
V2,4,236,54.495,111.088,161.042
V2,5,955,38.732,92.501,143.495
V2,6,774,154.307,,
V2,7,593,186.582,328.254,368.956
V2,8,412,37.585,105.484,157.623
V2,9,231,15.715,61.354,114.323
V2,10,950,36.518,123.624,174.528
V2,11,769,93.619,146.425,202.193
V2,12,588,68.081,177.873,223.635
V2,13,407,46.027,920.759,980.802
V2,14,226,31.126,160.074,210.543
V2,15,945,35.785,129.93,182.279
V2,16,764,43.532,120.005,166.616
V2,17,583,81.098,324.734,371.081
V2,18,402,49.215,110.381,161.031
V2,19,221,35.036,89.475,138.669
V2,20,940,88.48,177.64,225.346
V2,21,759,40.58,102.375,141.775
V2,22,578,39.474,102.189,158.323
V2,23,397,98.877,194.943,247.35
V2,24,216,66.372,192.521,269.162
V2,25,935,39.153,220.827,272.115
V2,26,754,42.571,100.866,152.766
V2,27,573,26.164,80.753,132.588
V2,28,392,48.346,176.919,228.888
V2,29,211,145.2,235.982,286.219
V2,30,930,49.754,114.187,165.59
V2,31,749,49.041,121.504,173.291
V2,32,568,35.152,170.381,223.803
V2,33,387,169.033,244.092,291.663
V2,34,206,44.146,129.469,178.664
V2,35,925,171.051,224.731,277.839
V2,36,744,86.239,147.986,201.032
V2,37,563,31.532,113.237,164.672
V2,38,382,77.708,169.077,220.57
V2,39,201,42.949,92.013,148.906
V2,40,920,44.932,99.913,151.77
