hdr,n1080,stream,content_s,real_s,user_s,sys_s
0,1,1,90,4.723,6.451,1.149
0,2,2,90,6.611,6.161,1.130
0,2,1,90,6.627,6.323,1.086
0,4,3,90,13.194,6.488,1.056
0,4,1,90,13.196,6.359,1.108
0,4,4,90,13.224,6.374,1.155
0,4,2,90,13.227,6.379,1.119
0,6,3,90,19.783,6.649,1.142
0,6,1,90,19.797,6.507,1.234
0,6,5,90,19.802,6.626,1.108
0,6,4,90,19.813,6.654,1.152
0,6,2,90,19.817,6.600,1.058
0,6,6,90,19.824,6.545,1.181
0,8,4,90,26.326,6.640,1.175
0,8,3,90,26.358,6.603,1.209
0,8,7,90,26.379,6.567,1.145
0,8,5,90,26.380,6.627,1.124
0,8,1,90,26.396,6.613,1.107
0,8,2,90,26.404,6.501,1.185
0,8,8,90,26.404,6.766,1.168
0,8,6,90,26.411,6.607,1.189
0,10,9,90,32.896,6.788,1.161
0,10,4,90,32.955,6.661,1.144
0,10,5,90,32.972,6.618,1.195
0,10,3,90,32.990,6.611,1.190
0,10,8,90,32.988,6.744,1.190
0,10,1,90,32.998,6.636,1.141
0,10,10,90,32.997,6.987,1.142
0,10,2,90,33.008,6.603,1.124
0,10,7,90,33.006,6.623,1.185
0,10,6,90,33.011,6.601,1.219
0,12,5,90,39.585,6.655,1.195
0,12,7,90,39.596,6.662,1.185
0,12,4,90,39.613,6.750,1.192
0,12,1,90,39.614,6.676,1.139
0,12,3,90,39.628,6.693,1.111
0,12,9,90,39.632,6.835,1.262
0,12,11,90,39.638,7.003,1.175
0,12,2,90,39.643,6.558,1.214
0,12,10,90,39.649,7.020,1.150
0,12,8,90,39.653,6.766,1.219
0,12,6,90,39.654,6.719,1.117
0,12,12,90,39.659,6.797,1.236
0,16,1,90,53.419,6.650,1.164
0,16,5,90,53.479,6.683,1.151
0,16,13,90,53.512,6.783,1.219
0,16,15,90,53.512,6.642,1.192
0,16,3,90,53.535,6.670,1.184
0,16,16,90,53.555,6.644,1.239
0,16,11,90,53.576,6.954,1.192
0,16,7,90,53.580,6.623,1.232
0,16,9,90,53.589,6.822,1.214
0,16,14,90,53.591,6.645,1.176
0,16,4,90,53.610,6.680,1.237
0,16,12,90,53.608,6.759,1.221
0,16,10,90,53.608,6.993,1.200
0,16,8,90,53.610,6.790,1.163
0,16,6,90,53.613,6.685,1.228
0,16,2,90,53.618,6.519,1.240
1,2,1,90,10.276,6.351,1.074
1,2,2,90,10.279,6.263,1.130
1,2,hdr,90,39.293,8.915,1.949
1,4,3,90,19.655,6.616,1.119
1,4,1,90,19.673,6.508,1.077
1,4,2,90,19.702,6.557,1.101
1,4,4,90,19.704,6.555,1.195
1,4,hdr,90,42.748,8.940,1.649
1,6,3,90,30.961,6.620,1.231
1,6,1,90,30.993,6.578,1.153
1,6,5,90,31.008,6.567,1.182
1,6,6,90,31.032,6.688,1.213
1,6,4,90,31.035,6.674,1.192
1,6,2,90,31.040,6.540,1.201
1,6,hdr,90,46.731,8.866,1.731
