n,stream,content_s,real_s,user_s,sys_s
12,3,90,39.358,4.732,0.713
12,1,90,39.459,4.744,0.674
12,5,90,39.471,4.718,0.730
12,4,90,39.504,4.730,0.714
12,7,90,39.509,4.640,0.697
12,9,90,39.520,4.550,0.774
12,11,90,39.555,4.500,0.717
12,6,90,39.559,4.647,0.707
12,2,90,39.568,4.600,0.740
12,8,90,39.572,4.650,0.713
12,12,90,39.581,4.507,0.702
12,10,90,39.583,4.515,0.734
16,15,90,52.602,4.397,0.683
16,7,90,52.632,4.640,0.692
16,3,90,52.659,4.702,0.682
16,13,90,52.672,4.478,0.711
16,1,90,52.674,4.687,0.698
16,9,90,52.679,4.542,0.709
16,11,90,52.683,4.512,0.712
16,5,90,52.686,4.697,0.680
16,10,90,52.691,4.554,0.686
16,2,90,52.705,4.698,0.644
16,4,90,52.778,4.710,0.668
16,14,90,52.784,4.318,0.702
16,16,90,52.788,4.403,0.755
16,6,90,52.793,4.678,0.710
16,8,90,52.794,4.611,0.726
16,12,90,52.800,4.480,0.676
20,3,90,66.200,4.744,0.674
20,11,90,66.211,4.475,0.752
20,1,90,66.215,4.714,0.719
20,13,90,66.206,4.436,0.738
20,17,90,66.248,4.570,0.696
20,19,90,66.266,4.615,0.707
20,10,90,66.271,4.580,0.750
20,5,90,66.272,4.723,0.704
20,9,90,66.284,4.576,0.687
20,15,90,66.289,4.411,0.694
20,6,90,66.298,4.745,0.672
20,7,90,66.299,4.662,0.715
20,2,90,66.305,4.639,0.745
20,18,90,66.301,4.552,0.687
20,16,90,66.312,4.473,0.670
20,20,90,66.332,4.657,0.751
20,8,90,66.330,4.591,0.769
20,4,90,66.342,4.695,0.726
20,12,90,66.349,4.472,0.716
20,14,90,66.356,4.364,0.744
