class,idx,seek,container,probe_done_ms,header_ms,first_segment_ms,err
h264,1,779,mkv,248.021,,,nosegment
h264,2,598,mkv,52.455,143.688,201.657,
h264,3,417,mkv,63.115,173.284,233.149,
h264,4,236,mkv,49.269,184.715,244.053,
h264,5,955,mkv,38.361,167.826,227.027,
h264,6,774,mkv,74.41,121.814,183.714,
h264,7,593,mkv,56.275,163.981,225.318,
h264,8,412,mkv,36.403,223.935,288.155,
h264,9,231,mkv,38.003,80.824,145.348,
h264,10,950,mkv,39.287,76.068,141.241,
h264,11,769,mkv,62.613,,,nosegment
h264,12,588,mkv,54.223,99.924,160.508,
h264,13,407,mkv,42.263,81.087,145.925,
h264,14,226,mkv,43.597,157.938,221.855,
h264,15,945,mkv,96.008,,,nosegment
h264,16,764,mkv,49.372,87.546,150.218,
h264,17,583,mkv,32.411,75.227,146.644,
h264,18,402,mkv,44.262,118.779,178.369,
h264,19,221,mkv,39.92,137.803,196.568,
h264,20,940,mkv,52.436,117.918,177.161,
h264,21,759,mkv,37.302,312.791,377.089,
h264,22,578,mkv,43.873,111.977,173.154,
h264,23,397,mkv,52.255,136.56,197.947,
h264,24,216,mkv,249.803,483.386,556.333,
h264,25,935,mkv,87.155,,,nosegment
h264,26,754,mkv,46.381,98.61,159.509,
h264,27,573,mkv,161.779,444.276,510.432,
h264,28,392,mkv,46.034,81.639,147.165,
h264,29,211,mkv,35.429,256.12,321.194,
h264,30,930,mkv,46.889,,,nosegment
h264,31,749,mkv,126.814,341.508,434.526,
h264,32,568,mkv,68.99,107.564,167.351,
h264,33,387,mkv,43.832,137.945,202.653,
h264,34,206,mkv,42.345,155.395,215.568,
h264,35,925,mkv,35.804,186.863,251.096,
h264,36,744,mkv,34.175,145.976,208.404,
h264,37,563,mkv,48.265,88.274,150.009,
h264,38,382,mkv,38.562,105.624,167.886,
h264,39,201,mkv,51.639,147.298,207.474,
h264,40,920,mkv,58.42,,,nosegment
h264,41,739,mkv,130.722,,,nosegment
h264,42,558,mkv,53.406,190.559,253.31,
h264,43,377,mkv,38.626,103.016,164.248,
h264,44,196,mkv,92.159,452.044,519.814,
h264,45,915,mkv,86.359,157.457,219.231,
h264,46,734,mkv,56.282,107.159,179.759,
h264,47,553,mkv,39.565,82.462,154.691,
h264,48,372,mkv,48.52,123.284,183.919,
h264,49,191,mkv,38.006,113.123,172.417,
h264,50,910,mkv,43.95,87.358,149.166,
hevc,51,729,mkv,53.934,212.201,271.907,
hevc,52,548,mkv,61.311,261.588,322.584,
hevc,53,367,mkv,28.986,70.206,135.206,
hevc,54,186,mkv,30.761,336.045,394.818,
hevc,55,905,mkv,51.308,88.051,148.77,
hevc,56,724,mkv,123.305,220.356,279.277,
hevc,57,543,mkv,74.656,252.495,311.422,
hevc,58,362,mkv,32.902,84.104,145.517,
hevc,59,181,mkv,58.311,187.887,246.63,
hevc,60,900,mkv,35.973,88.443,147.416,
hevc,61,719,mkv,42.582,106.234,166.671,
hevc,62,538,mkv,31.028,92.757,152.711,
hevc,63,357,mkv,52.081,115.007,176.455,
hevc,64,176,mkv,38.13,104.303,165.713,
hevc,65,895,mkv,49.401,91.514,152.291,
hevc,66,714,mkv,33.737,100.165,160.962,
hevc,67,533,mkv,39.012,87.102,149.805,
hevc,68,352,mkv,66.371,232.261,291.457,
hevc,69,171,mkv,174.863,235.968,293.512,
hevc,70,890,mkv,71.692,182.631,244.594,
hevc,71,709,mkv,152.239,254.746,312.761,
hevc,72,528,mkv,42.671,85.018,145.546,
hevc,73,347,mkv,73.378,143.184,202.682,
hevc,74,166,mkv,41.126,91.477,149.794,
hevc,75,885,mkv,78.101,268.457,329.633,
hevc,76,704,mkv,82.99,,,nosegment
hevc,77,523,mkv,21.129,140.615,199.957,
hevc,78,342,mkv,116.611,185.587,244.277,
hevc,79,161,mkv,163.387,219.225,279.538,
hevc,80,880,mkv,78.706,221.596,280.949,
hevc,81,699,mkv,132.113,285.209,344.614,
hevc,82,518,mkv,131.396,215.079,275.197,
hevc,83,337,mkv,66.637,210.428,272.054,
hevc,84,156,mkv,127.261,330.011,392.23,
hevc,85,875,mkv,154.141,300.39,360.462,
hevc,86,694,mkv,45.793,127.87,188.681,
hevc,87,513,mkv,39.933,121.441,186.768,
hevc,88,332,mkv,111.866,299.771,359.07,
hevc,89,151,mkv,38.923,117.274,177.716,
hevc,90,870,mkv,43.895,170.338,229.465,
hdr,91,689,mkv,95.86,260.527,698.261,
hdr,92,508,mkv,264.784,359.73,1053.046,
hdr,93,327,mkv,49.753,200.206,1018.025,
hdr,94,146,mkv,63.381,182.739,1110.366,
hdr,95,865,mkv,190.408,377.346,1227.794,
hdr,96,684,mkv,56.776,174.974,1098.163,
hdr,97,503,mkv,83.248,185,1175.97,
hdr,98,322,mkv,60.503,194.315,1156.671,
hdr,99,141,mkv,50.863,150.496,1120.568,
hdr,100,860,mkv,48.467,168.209,1197.405,
hdr,101,679,mkv,43.668,230.175,1011.661,
hdr,102,498,mkv,59.737,222.779,1242.035,
hdr,103,317,mkv,55.132,210.099,1048.789,
hdr,104,136,mkv,93.509,165.915,1140.182,
hdr,105,855,mkv,62.039,167.428,1176.09,
hdr,106,674,mkv,64.336,196.352,1157.595,
hdr,107,493,mkv,90.154,172.328,1121.06,
hdr,108,312,mkv,61.716,183.145,1082.707,
hdr,109,131,mkv,114.22,243.928,1172.042,
hdr,110,850,mkv,236.033,1741.227,2226.794,
