mode,idx,first_segment_ms
ts,1,
fmp4,1,
ts,1,
fmp4,1,
ts,2,225.156
fmp4,2,162.107
ts,2,176.838
fmp4,2,177.13
ts,3,220.793
fmp4,3,185.087
ts,3,196.125
fmp4,3,182.132
ts,4,209.194
fmp4,4,165.782
ts,4,175.077
fmp4,4,160.658
ts,5,239.466
fmp4,5,190.061
ts,5,202.168
fmp4,5,189.633
ts,6,172.581
fmp4,6,124.984
ts,6,151.83
fmp4,6,124.608
ts,7,278.935
fmp4,7,178.89
ts,7,209.297
fmp4,7,186.431
ts,8,293.329
fmp4,8,255.693
ts,8,274.789
fmp4,8,258.041
ts,9,147.303
fmp4,9,115.03
ts,9,131.982
fmp4,9,105.406
ts,10,150.854
fmp4,10,101.487
ts,10,122.884
fmp4,10,103.718
ts,11,
fmp4,11,
ts,11,
fmp4,11,
ts,12,271.443
fmp4,12,124.049
ts,12,145.279
fmp4,12,129.274
ts,13,228.315
fmp4,13,123.257
ts,13,139.217
fmp4,13,107.677
ts,14,240.571
fmp4,14,190.045
ts,14,198.95
fmp4,14,186.158
ts,15,
fmp4,15,
ts,15,
fmp4,15,
ts,16,157.046
fmp4,16,110.293
ts,16,140.589
fmp4,16,120.54
ts,17,157.223
fmp4,17,113.86
ts,17,152.689
fmp4,17,123.179
ts,18,313.72
fmp4,18,144.641
ts,18,161.974
fmp4,18,130.862
ts,19,188.499
fmp4,19,155.201
ts,19,166.151
fmp4,19,155.667
ts,20,168.798
fmp4,20,123.8
ts,20,145.127
fmp4,20,120.05
ts,21,411.347
fmp4,21,317.732
ts,21,360.336
fmp4,21,318.033
ts,22,165.628
fmp4,22,107.854
ts,22,118.659
fmp4,22,117.129
ts,23,515.997
fmp4,23,165.999
ts,23,166.582
fmp4,23,162.903
ts,24,336.674
fmp4,24,148.004
ts,24,165.212
fmp4,24,138.026
ts,25,
fmp4,25,
ts,25,
fmp4,25,
ts,26,669.536
fmp4,26,121.465
ts,26,133.379
fmp4,26,121.506
ts,27,174.097
fmp4,27,107.541
ts,27,122.686
fmp4,27,105.143
ts,28,168.031
fmp4,28,106.144
ts,28,145.739
fmp4,28,110.386
ts,29,332.3
fmp4,29,291.73
ts,29,314.115
fmp4,29,290.304
ts,30,
fmp4,30,
ts,30,
fmp4,30,
ts,31,342.244
fmp4,31,131.777
ts,31,150.676
fmp4,31,134.192
ts,32,157.205
fmp4,32,116.888
ts,32,131.196
fmp4,32,112.742
ts,33,776.227
fmp4,33,161.006
ts,33,192.67
fmp4,33,163.366
ts,34,224.452
fmp4,34,172.516
ts,34,184.205
fmp4,34,172.709
ts,35,248.7
fmp4,35,218.933
ts,35,232.065
fmp4,35,217.34
ts,36,201.299
fmp4,36,176.448
ts,36,187.807
fmp4,36,174.74
ts,37,147.82
fmp4,37,108.194
ts,37,136.178
fmp4,37,116.874
ts,38,170.733
fmp4,38,138.23
ts,38,156.034
fmp4,38,127.963
ts,39,176.077
fmp4,39,129.764
ts,39,159.869
fmp4,39,132.542
ts,40,
fmp4,40,
ts,40,
fmp4,40,
ts,41,
fmp4,41,
ts,41,
fmp4,41,
ts,42,210.518
fmp4,42,196.371
ts,42,201.499
fmp4,42,194.48
ts,43,151.772
fmp4,43,101.75
ts,43,118.19
fmp4,43,100.814
ts,44,257.831
fmp4,44,172.768
ts,44,186.202
fmp4,44,172.297
ts,45,163.928
fmp4,45,123.031
ts,45,134.011
fmp4,45,114.962
ts,46,219.229
fmp4,46,122.731
ts,46,128.592
fmp4,46,116.61
ts,47,134.688
fmp4,47,114.57
ts,47,124.919
fmp4,47,103.256
ts,48,249.036
fmp4,48,120.777
ts,48,145.63
fmp4,48,126.041
ts,49,169.886
fmp4,49,138.074
ts,49,153.61
fmp4,49,137.87
ts,50,152.056
fmp4,50,109.845
ts,50,133.254
fmp4,50,116.155
