n,stream,content_s,real_s,user_s,sys_s,frames
4,3,90,24.577,2.498,0.859,"frames":2697
4,1,90,24.676,2.532,0.829,"frames":2697
4,2,90,24.716,2.488,0.829,"frames":2697
4,4,90,24.858,2.478,0.860,"frames":2697
8,5,90,48.840,2.642,0.976,"frames":2697
8,1,90,49.035,2.574,1.121,"frames":2697
8,7,90,49.046,2.622,1.153,"frames":2697
8,3,90,49.133,2.574,1.025,"frames":2697
8,4,90,49.459,2.558,1.105,"frames":2697
8,8,90,49.471,2.573,1.124,"frames":2697
8,2,90,49.483,2.549,1.160,"frames":2697
8,6,90,49.545,2.462,1.106,"frames":2697
12,9,90,72.791,2.726,1.269,"frames":2697
12,11,90,73.560,2.743,1.271,"frames":2697
12,7,90,73.550,2.678,1.324,"frames":2697
12,3,90,73.828,2.648,1.343,"frames":2697
12,1,90,73.830,2.681,1.326,"frames":2697
12,5,90,73.834,2.667,1.404,"frames":2697
12,6,90,74.187,2.660,1.286,"frames":2697
12,2,90,74.275,2.637,1.343,"frames":2697
12,4,90,74.354,2.591,1.364,"frames":2697
12,8,90,74.441,2.672,1.360,"frames":2697
12,12,90,74.459,2.629,1.334,"frames":2697
12,10,90,74.519,2.615,1.319,"frames":2697
16,10,90,3.194,0.163,0.488,"frames":0
16,12,90,3.318,0.141,0.552,"frames":0
16,2,90,3.326,0.164,0.513,"frames":0
16,14,90,3.346,0.151,0.546,"frames":0
16,16,90,73.321,2.647,1.358,"frames":2697
16,3,90,73.668,2.611,1.261,"frames":2697
16,5,90,74.522,2.725,1.334,"frames":2697
16,13,90,74.695,2.699,1.377,"frames":2697
16,1,90,74.777,2.683,1.418,"frames":2697
16,11,90,75.026,2.554,1.436,"frames":2697
16,7,90,75.028,2.657,1.418,"frames":2697
16,15,90,75.058,2.670,1.437,"frames":2697
16,9,90,75.035,2.639,1.428,"frames":2697
16,6,90,75.152,2.628,1.466,"frames":2697
16,4,90,75.204,2.723,1.401,"frames":2697
16,8,90,75.261,2.676,1.532,"frames":2697
