class,run,probe_ms,header_ms,first_segment_ms
h264,1,38.311,414.377,503.804
h264,2,38.991,247.871,323.964
h264,3,36.529,247.26,318.845
h264,4,36.989,239.414,310.853
h264,5,37.762,303.072,375.901
h264,6,37.543,240.796,314.267
h264,7,39.441,274.818,344.881
h264,8,37.624,240.203,312.474
h264,9,37.86,261.618,334.109
h264,10,37.846,241.255,314.574
hevc,1,31.255,238.309,308.554
hevc,2,28.373,238.392,311.714
hevc,3,29.444,234.766,303.216
hevc,4,30.045,293.457,361.734
hevc,5,29.635,254.898,323.467
hevc,6,29.709,234,304.475
hevc,7,30.707,234.95,303.893
hevc,8,31.241,234.772,304.433
hevc,9,28.193,250.095,318.429
hevc,10,29.203,236.682,306.825
hdr,1,34.822,1815.214,1910.922
hdr,2,33.254,2044.687,2152.652
hdr,3,33.744,2136.589,2237.174
hdr,4,35.564,2034.97,2134.869
hdr,5,33.988,2027.051,2119.857
hdr,6,33.83,2041.838,2155.661
hdr,7,33.472,2011.381,2113.19
hdr,8,36.227,2041.061,2140.89
hdr,9,33.371,2021.096,2125.627
hdr,10,34.516,2043.347,2144.29
