class,res,n,stream,content_s,real_s,user_s,sys_s
h264,1080,2,1,30,14.009,23.736,0.673
h264,1080,2,2,30,14.788,33.390,0.810
h264,1080,3,1,30,19.498,24.243,0.694
h264,1080,3,3,30,20.386,25.087,0.812
h264,1080,3,2,30,21.490,34.244,0.797
h264,1080,4,1,30,25.289,24.848,0.691
h264,1080,4,3,30,27.725,25.910,0.753
h264,1080,4,4,30,28.212,27.373,0.715
h264,1080,4,2,30,28.913,34.540,0.806
h264,720,3,3,30,14.117,16.699,0.563
h264,720,3,1,30,14.127,16.072,0.584
h264,720,3,2,30,14.130,21.975,0.620
h264,720,4,4,30,17.642,17.951,0.565
h264,720,4,1,30,17.781,16.022,0.578
h264,720,4,3,30,18.330,16.669,0.566
h264,720,4,2,30,18.790,22.212,0.597
h264,720,5,4,30,23.053,17.842,0.575
h264,720,5,1,30,23.238,16.063,0.560
h264,720,5,3,30,23.540,16.623,0.598
h264,720,5,2,30,23.668,21.803,0.635
h264,720,5,5,30,24.251,21.524,0.690
h264,720,6,4,30,26.590,17.697,0.586
h264,720,6,3,30,27.201,16.678,0.596
h264,720,6,1,30,28.384,15.863,0.570
h264,720,6,6,30,29.302,19.782,0.659
h264,720,6,2,30,29.328,22.255,0.645
h264,720,6,5,30,29.336,21.485,0.653
