class,res,run,first_segment_ms
h264,1080,1,571.243
h264,1080,2,943.87
h264,1080,3,939.752
h264,1080,4,974.213
h264,1080,5,1243.125
h264,720,1,415.233
h264,720,2,659.528
h264,720,3,541.518
h264,720,4,645.33
h264,720,5,837
hevc,1080,1,660.61
hevc,1080,2,1403.236
hevc,1080,3,1430.606
hevc,1080,4,1604.949
hevc,1080,5,1414.948
hevc,720,1,495.04
hevc,720,2,932.101
hevc,720,3,1106.274
hevc,720,4,1027.571
hevc,720,5,906.48
hdr,720,1,2443.932
hdr,720,2,4007.812
hdr,720,3,3250.482
hdr,720,4,3801.779
hdr,720,5,3406.343
